model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.0269900653511285,0.0004974629118461,-0.0935913314421971,-0.1247269958257675,0.9286182056319582,0.9436107476552328,0.0201027154301603,0.1002292075965946,0.1002292075965946,0.0,0.3313686967910936,454.0,0.099231561317986,0.0002794214332675,0.0111768573307034,,True,True,True,0.0006004534661769,0.000592378899455,0.0005622655153274,0.0001224999626477,0.0058800081411997,0.0057594974835713,0.0051394601662953,-0.0007457211613655,-0.3097576948264572,-0.1159135559921414,-0.1139489194499019,0.0170268500327438,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
vanilla,vanilla,,,,,cvar,3,-0.0271125653137763,0.0004092848851479,-0.0946559965610504,-0.123981274664402,0.945645055664702,1.0,0.0250967827936013,0.0907007203667321,0.0907007203667321,0.0,1.0,542.6666666666666,0.0998653120949391,0.0001314924391847,0.0052596975673898,,True,True,True,0.0004779535035292,0.0004698789368073,0.0004397655526796,0.0,0.0066257293025652,0.0065052186449368,0.0058851813276608,0.0,-0.326784544859201,-0.1329404060248853,-0.1309757694826457,0.0,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0271572433412075,0.0004365889246725,-0.0945872555176417,-0.1239328533411026,0.8788474132285528,0.9320770899454752,0.0227569105724493,0.005697445972495,0.005697445972495,0.0,0.0720366732154551,221.33333333333337,0.0992662305927931,1.643655489809336e-05,0.0006574621959237,,True,True,True,0.000433275476098,0.0004252009093761,0.0003950875252485,-4.46780274311713e-05,0.0066741506258646,0.0065536399682362,0.0059336026509602,4.842132329940796e-05,-0.2599869024230518,-0.066142763588736,-0.0641781270464965,0.0667976424361492,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0271917786449193,0.0003969407229053,-0.0931245004137357,-0.1225073412060737,0.8932547478716438,0.92140797773997,0.0307835210114717,0.0027504911591355,0.0027504911591355,0.0,0.0648330058939096,17.0,0.0992475038750267,8.21827744904668e-05,0.0019723865877712,,True,True,True,0.0003987401723861,0.0003906656056642,0.0003605522215366,-7.921333114306248e-05,0.0080996627608934,0.0079791521032651,0.0073591147859891,0.0014739334583282,-0.2743942370661428,-0.0805500982318271,-0.0785854616895875,0.0523903077930582,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.0272104342778523,0.0003772722502152,-0.0935018231471379,-0.1238688429196675,0.8867059593975114,0.9085535407066344,0.0252372678369283,0.0125900458415193,0.0125900458415193,0.0,0.1846758349705304,23.666666666666668,0.0993255246460822,6.574621959237344e-05,0.0013149243918474,,True,True,True,0.0003800845394531,0.0003720099727312,0.0003418965886036,-9.786896407604218e-05,0.0067381610472996,0.0066176503896713,0.0059976130723953,0.0001124317447344,-0.2678454485920104,-0.0740013097576947,-0.0720366732154551,0.0589390962671906,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.0272439743081728,0.0005416785760587,-0.0965139473477999,-0.1265071406960487,0.9122462344466274,0.9472566843032836,0.0190987670794129,0.0329076620825147,0.0326784544859201,0.0002292075965946,0.24950884086444,151.33333333333334,0.099348220084108,0.0005259697567389,0.0052596975673898,,True,True,True,0.0003465445091327,0.0003384699424107,0.0003083565582831,-0.0001314089943965,0.0040998632709185,0.0039793526132901,0.0033593152960141,-0.0025258660316467,-0.2933857236411265,-0.0995415848068107,-0.0975769482645712,0.0333988212180745,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0273150950670242,0.000444135358867,-0.0951718052228291,-0.1257520243525505,0.9096267190569746,1.0,0.0237382308890422,0.0257694826457105,0.0257694826457105,0.0,0.2174197773411919,26.0,0.0993126651489486,0.0,0.0,,True,True,True,0.0002754237502813,0.0002673491835594,0.0002372357994318,-0.0002025297532478,0.0048549796144167,0.0047344689567883,0.0041144316395123,-0.0017707496881484,-0.2907662082514736,-0.0969220694171578,-0.0949574328749183,0.0360183366077274,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.0273278653621673,0.0005047674058464,-0.0960134282708168,-0.1257891381780306,0.8978388998035364,0.925969421863556,0.0241043604910373,0.0013425016371971,0.0,0.0013425016371971,0.0098231827111984,75.33333333333333,0.0992420258090196,0.0002629848783694,0.0039447731755424,,True,True,True,0.0002626534551382,0.0002545788884162,0.0002244655042886,-0.000215300048391,0.0048178657889366,0.0046973551313082,0.0040773178140322,-0.0018078635136286,-0.2789783889980354,-0.0851342501637196,-0.0831696136214801,0.0478061558611656,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.0273369091252485,0.000498552296592,-0.0928178777297337,-0.1239968066414197,0.9194499017681728,0.9666748642921448,0.0269509299347798,0.0067288801571709,0.0067288801571709,0.0,0.1617550753110674,21.333333333333332,0.0995735707453756,0.0004766600920447,0.0164365548980933,,True,True,True,0.0002536096920569,0.000245535125335,0.0002154217412074,-0.0002243438114722,0.0066101973255475,0.0064896866679191,0.0058696493506431,-1.5531977017715914e-05,-0.3005893909626719,-0.1067452521283561,-0.1047806155861166,0.0261951538965291,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0273997417340676,0.0005482437170534,-0.0969281072417895,-0.1263956427574157,0.9954158480681072,0.6916100780169169,0.01808687672019,0.0,0.0,0.0,0.0,232.66666666666663,0.100268873826911,0.0,0.0,,True,True,True,0.0001907770832379,0.000182702516516,0.0001525891323884,-0.0002871764202912,0.0042113612095514,0.0040908505519231,0.0034708132346471,-0.0024143680930137,-0.3765553372626063,-0.1827111984282906,-0.1807465618860511,-0.0497707924034053,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust
