model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0698797876636187,0.0009629975677378,-0.2590915004412333,-0.3243991235891978,0.8313908313908315,1.0,0.0451811552047729,0.2754467754467755,0.2753302253302254,0.0001165501165501,0.93006993006993,313.3333333333333,0.2892715881726591,0.0650895638629283,0.795171339563863,,True,True,True,0.003289150695006,0.0021430402994155,0.0020354191462198,0.002494936188062,0.0183314780394235,0.0083196461200714,0.0082541406154632,0.0021343926588693,-0.198912198912199,-0.0101010101010102,-0.0116550116550117,0.1592851592851591,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall
unhedged,baseline,,,,,,3,-0.0295609527577956,0.0005387357829665,-0.0937026977539062,-0.1159929384787877,0.7125081859855927,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0003088172525167,-0.0003083211680253,-0.0007542632520198,0.0,-0.0032146846254666,-0.0031699314713478,-0.0055892492334047,0.0,0.149312377210216,0.1480026195153896,0.2285527177472166,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,Unhedged,unhedged
spot_delta,baseline,,,,,,3,-0.0292521355052789,0.0006919496472396,-0.0900532578428586,-0.112778253853321,0.8618205631958088,0.6425193349520365,0.0204287202407916,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0003088172525167,0.0,4.960844914130014e-07,-0.0004454459995031,0.0032146846254666,0.0,4.475315411885117e-05,-0.0023745646079381,-0.149312377210216,0.0,-0.0013097576948264,0.0792403405370005,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,Spot-Delta,spot_delta
spot_delta_band,baseline,,,,,,3,-0.0292526315897703,0.0006663612658164,-0.0906355132659276,-0.1128230070074399,0.8605108055009824,0.575852652390798,0.0142712754507859,0.0,0.0,0.0,0.0,,,,,0.0666666666666666,True,True,True,0.0003083211680253,-4.960844914130014e-07,0.0,-0.0004459420839945,0.0031699314713478,-4.475315411885117e-05,0.0,-0.0024193177620569,-0.1480026195153896,0.0013097576948264,0.0,0.080550098231827,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,Spot-Delta Band,spot_delta_band
vanilla,vanilla,,,,,cvar,3,-0.0288066895057757,0.0004218636272517,-0.0882835169633229,-0.1104036892453829,0.9410609037328094,1.0,0.0250980338702599,0.1659626719056974,0.1659626719056974,0.0,1.0,327.3333333333333,0.0991344190760161,9.861932938856015e-05,0.0039447731755424,,True,True,True,0.0007542632520198,0.0004454459995031,0.0004459420839945,0.0,0.0055892492334047,0.0023745646079381,0.0024193177620569,0.0,-0.2285527177472166,-0.0792403405370005,-0.080550098231827,0.0,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,Vanilla DH,vanilla
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0286310681452353,0.0006055719182645,-0.0879481986165046,-0.1068647727370262,0.902423051735429,1.0,0.0273061779638131,0.0304354944335297,0.0302390307793058,0.0001964636542239,0.3215455140798952,30.666666666666668,0.0986811631039289,0.0007232084155161,0.0243261012491781,,True,True,True,0.0009298846125602,0.0006210673600435,0.0006215634445349,0.0001756213605403,0.0091281657417615,0.0059134811162948,0.0059582342704137,0.0035389165083567,-0.1899148657498363,-0.0406024885396202,-0.0419122462344466,0.0386378519973803,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0286310681452353,0.0006055719182645,-0.0879481986165046,-0.1068647727370262,0.902423051735429,1.0,0.0273061779638131,0.0304354944335297,0.0302390307793058,0.0001964636542239,0.3215455140798952,30.666666666666668,0.0986811631039289,0.0007232084155161,0.0243261012491781,,True,True,True,0.0009298846125602,0.0006210673600435,0.0006215634445349,0.0001756213605403,0.0091281657417615,0.0059134811162948,0.0059582342704137,0.0035389165083567,-0.1899148657498363,-0.0406024885396202,-0.0419122462344466,0.0386378519973803,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.0289100452015797,0.0007316397846556,-0.0876428917050361,-0.1087402130166689,0.890635232481991,0.8826087315877279,0.0257211371014515,0.0003929273084479,0.0,0.0003929273084479,0.0039292730844793,27.666666666666668,0.0988307967090264,0.0006738987508218,0.0059171597633136,,True,True,True,0.0006509075562159,0.0003420903036991,0.0003425863881905,-0.0001033556958039,0.0072527254621187,0.0040380408366521,0.0040827939907709,0.0016634762287139,-0.1781270464963982,-0.0288146692861821,-0.0301244269810085,0.0504256712508184,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall
unhedged,baseline,,,,,,3,-0.0221647812674442,0.0007100582493274,-0.0689001560211181,-0.090721845626831,0.7079240340537001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0001580516497294,-0.000137227276961,-0.0004842231671015,0.0,-0.0005146414041519,-0.0006029059489568,-0.00482027977705,0.0,0.1499672560576294,0.1499672560576294,0.2200392927308447,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust,Unhedged,unhedged
spot_delta,baseline,,,,,,3,-0.0220067296177148,0.0007144938450925,-0.0656086201469103,-0.0902072042226791,0.8578912901113295,0.6168549855550131,0.0184921603649854,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0001580516497294,0.0,2.08243727684021e-05,-0.0003261715173721,0.0005146414041519,0.0,-8.826454480488632e-05,-0.0043056383728981,-0.1499672560576294,0.0,0.0,0.0700720366732153,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust,Spot-Delta,spot_delta
