model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,3,-0.0158564606681466,0.0006575621078882,-0.0554446771740913,-0.075814738869667,0.8598559266535691,0.8372859954833984,0.0318843939652045,0.0088736083824492,0.0083660772757039,0.0005075311067452,0.0766208251473477,456.3333333333333,0.0592106187477509,0.0171104536489151,0.3399079552925706,,True,True,True,-0.0003349715843796,-0.0003430458406607,-0.0003731601561109,-0.0004206259424487,0.0014641856153806,-0.0003295888503392,-0.0006343051791191,-0.000757726530234,-0.2639161755075312,-0.0537000654878847,-0.0445317616240995,0.1132940406024886,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,25.0,True,False,cvar
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,3,-0.0158876441419124,0.000311832012793,-0.0558088925977547,-0.0748912145694096,0.8592010478061559,0.6030687913298607,0.020313227471585,0.0337426326129666,0.0337426326129666,0.0,0.2789783889980353,410.0,0.0606263828266149,0.024835634451019,0.2636423405654175,,True,True,True,-0.0003661550581455,-0.0003742293144265,-0.0004043436298767,-0.0004518094162146,0.0023877099156379,0.0005939354499181,0.0002892191211382,0.0001657977700233,-0.263261296660118,-0.0530451866404715,-0.0438768827766863,0.1139489194499018,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,50.0,False,False,cvar
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,3,-0.0159478820860385,0.0006585377527802,-0.0551997934778531,-0.0745101446906725,0.8925998690242305,0.8518581589063009,0.0281704794615507,0.0094629993451211,0.0094629993451211,0.0,0.1028159790438768,279.6666666666667,0.0582418603881309,0.0038297172912557,0.0414201183431952,,True,True,True,-0.0004263930022716,-0.0004344672585527,-0.0004645815740029,-0.0005120473603407,0.002768779794375,0.0009750053286552,0.0006702889998753,0.0005468676487604,-0.2966601178781926,-0.0864440078585461,-0.0772757039947609,0.0805500982318272,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,25.0,False,False,cvar
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,3,-0.0363756418228149,0.0021262469808738,-0.1255041892329851,-0.1772408485412597,0.8422688422688424,0.937448263168335,0.0543503202497959,0.1675407925407925,0.1165889665889666,0.0509518259518259,0.5625485625485626,285.3333333333333,0.1595235158808564,0.0998442367601246,0.573208722741433,,True,True,True,0.001875369499127,0.0007292578617731,0.0006216342250506,0.0011679728825887,0.0028779904047648,-0.0066678176323572,-0.0071183939774831,-0.0100878477096557,-0.2113442113442114,-0.0170940170940172,-0.0155400155400156,0.1072261072261071,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,spot_delta,25.0,False,False,cvar
spot_delta_band,baseline,3,-0.0369972760478655,0.0032118934447361,-0.1285185853640238,-0.1701224545637766,0.8267288267288267,0.6922129988670349,0.017435498535633,0.0,0.0,0.0,0.0,,,,,0.01,True,True,True,0.0012537352740764,0.0001076236367225,0.0,0.0005463386575381,0.0099963843822479,0.0004505763451258,0.0,-0.0029694537321726,-0.1958041958041958,-0.0015540015540016,0.0,0.1227661227661227,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,,,,,
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,3,-0.0370832520226637,0.0010581583542209,-0.126373512049516,-0.1689743449290593,0.8648018648018648,1.0,0.0359692225853602,0.0679875679875679,0.0462703962703962,0.0217171717171717,0.3954933954933954,73.66666666666667,0.1631969003128091,0.110202492211838,0.5903426791277259,,True,True,True,0.0011677592992782,2.1647661924362183e-05,-8.597597479820251e-05,0.0004603626827398,0.0111444940169652,0.0015986859798431,0.0011481096347172,-0.0018213440974553,-0.2338772338772339,-0.0396270396270397,-0.038073038073038,0.0846930846930846,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,spot_delta,50.0,False,False,cvar
spot_delta,baseline,3,-0.0371048996845881,0.0032346421543229,-0.1282111992438634,-0.1705730309089025,0.8251748251748251,0.7022129893302917,0.0220250536998113,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0011461116373538,0.0,-0.0001076236367225,0.0004387150208155,0.009545808037122,0.0,-0.0004505763451258,-0.0034200300772984,-0.1942501942501941,0.0,0.0015540015540016,0.1243201243201244,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,,,,,
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,3,-0.0374001488089561,0.0033526656324704,-0.1260906452933947,-0.1706700424353281,0.9106449106449106,0.875791331132253,0.0221761707216501,0.0004662004662004,0.0,0.0004662004662004,0.0015540015540015,62.333333333333336,0.1564513907219773,0.0005841121495327,0.0015576323987538,,True,True,True,0.0008508625129858,-0.000295249124368,-0.0004028727610905,0.0001434658964475,0.0094487965106964,-9.701152642566102e-05,-0.0005475878715515,-0.0035170416037241,-0.2797202797202797,-0.0854700854700855,-0.0839160839160838,0.0388500388500389,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,vanilla,100.0,True,False,cvar
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,3,-0.037490307042996,0.0018864827699141,-0.1215137218435605,-0.1635487824678421,0.9572649572649572,1.0,0.0334436651319265,0.1948717948717948,0.1676961926961927,0.0271756021756021,0.9945609945609948,109.0,0.1712171437434643,0.1571845794392523,0.7180685358255451,,True,True,True,0.0007607042789459,-0.0003854073584079,-0.0004930309951305,5.330766240756179e-05,0.0165700564781824,0.0070242484410603,0.0065736720959345,0.0036042183637619,-0.3263403263403264,-0.1320901320901322,-0.1305361305361305,-0.0077700077700078,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,vanilla,25.0,False,False,cvar
vanilla,vanilla,3,-0.0375436147054036,0.0014952762669646,-0.1262015784780184,-0.167153000831604,0.9494949494949496,0.9703956445058188,0.032910481095314,0.1666666666666666,0.0166666666666666,0.15,0.6666666666666666,120.33333333333331,0.1740765248953054,0.1666666666666666,0.6666666666666666,,True,True,True,0.0007073966165383,-0.0004387150208155,-0.0005463386575381,0.0,0.0129658381144205,0.0034200300772984,0.0029694537321726,0.0,-0.3185703185703186,-0.1243201243201244,-0.1227661227661227,0.0,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,,,,,cvar
