model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=10_weighted=1_learnw=0,val,1234,proto,1.6497362852096558,1.2105095386505127,-0.22645282745361328,0.10787961632013321,-0.1022346243262291,1.4446591138839722,4.007309436798096,0.03273809523809524,-0.021169060841202736,1.6775803565979004,0.006675033364444971,0.40799421072006226,1.126819372177124,0.7420096397399902,1.0000001192092896,0.5158482142857143,0.10572916666666667,0.4101190476190476,1.0,cvar,680.0,-0.732337923582111,val_loss,0.41198232769966125,0.7324992418289185,0.5036830357142857,1.0,672.0,20.0,2.0,spot_delta,10.0,True,False,1.106221318244934,1.4935933351516724
proto_source=spot_delta_k=10_weighted=1_learnw=0,test,1234,proto,1.6019569635391235,1.2442348003387451,-0.13027261197566986,0.09490301460027695,-0.11150118708610535,1.3637025356292725,4.023918628692627,0.032640949554896145,-0.020197231322526932,1.6287237405776978,0.006569360848516226,0.40080487728118896,1.126819372177124,0.7472511529922485,1.0000001192092896,0.5244436201780416,0.10537833827893175,0.4190652818991098,1.0,cvar,680.0,-0.732337923582111,val_loss,0.41198232769966125,0.7324992418289185,0.5036830357142857,1.0,674.0,20.0,2.0,spot_delta,10.0,True,False,1.106221318244934,1.4935933351516724
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,1.6828479766845703,1.2141048908233643,-0.14843516051769257,0.08895549178123474,-0.05909951403737068,1.4380978345870972,4.1400651931762695,0.030582988212806625,-0.021356062963604927,1.7107194662094116,0.006515268236398697,0.3920205533504486,1.126819372177124,0.7467899918556213,1.0000001192092896,0.4719735584581077,0.10686524370818733,0.36510831474992034,1.0,cvar,710.0,-0.7392668960278943,val_loss,0.4118151366710663,0.7174597382545471,0.4376860119047619,1.0,3139.0,20.0,2.0,spot_delta,10.0,False,False,0.9191757440567017,1.245249629020691
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,1.6935455799102783,1.2210967540740967,-0.10264141857624054,0.09874685108661652,-0.03566690906882286,1.4507079124450684,4.125381946563721,0.026785714285714284,-0.021169060841202736,1.7212753295898438,0.006560768466442823,0.39565327763557434,1.126819372177124,0.7423818707466125,1.0000001192092896,0.4646205357142857,0.11023065476190476,0.35438988095238094,1.0,cvar,710.0,-0.7392668960278943,val_loss,0.4118151366710663,0.7174597382545471,0.4376860119047619,1.0,672.0,20.0,2.0,spot_delta,10.0,False,False,0.9191757440567017,1.245249629020691
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,1.6212283372879028,1.2247846126556396,-0.23812760412693024,0.022974593564867973,-0.12459968030452728,1.3869088888168335,4.118135929107666,0.04154302670623145,-0.020197231322526932,1.647849440574646,0.0064239827916026115,0.3863472044467926,1.126819372177124,0.7479970455169678,1.0,0.475,0.11149851632047478,0.36350148367952523,1.0,cvar,710.0,-0.7392668960278943,val_loss,0.4118151366710663,0.7174597382545471,0.4376860119047619,1.0,674.0,20.0,2.0,spot_delta,10.0,False,False,0.9191757440567017,1.245249629020691
proto_source=spot_delta_k=25_weighted=1_learnw=0,train,1234,proto,1.667289137840271,1.242865800857544,-0.20486760139465332,0.07733675092458725,-0.10091821104288101,1.4227639436721802,4.214065074920654,0.034724434533290854,-0.021356062963604927,1.6947388648986816,0.006093612872064114,0.3307022452354431,1.126016616821289,0.8158168792724609,1.0000001192092896,0.5088722523096527,0.09268875438037591,0.41618349792927684,1.0,cvar,272.0,-0.6930886380303474,val_loss,0.33340269327163696,0.8219034671783447,0.5269717261904762,1.0,3139.0,20.0,2.0,spot_delta,25.0,True,False,0.5310279726982117,1.4466981887817383
proto_source=spot_delta_k=25_weighted=1_learnw=0,val,1234,proto,1.7007182836532593,1.2033605575561523,-0.03357135131955147,0.17865370213985443,0.03752385824918747,1.4594900608062744,4.061201095581055,0.01488095238095238,-0.021169060841202736,1.7280560731887817,0.006168602500110865,0.33575835824012756,1.126016616821289,0.8107173442840576,1.0000001192092896,0.4973958333333333,0.09501488095238095,0.4023809523809524,1.0,cvar,272.0,-0.6930886380303474,val_loss,0.33340269327163696,0.8219034671783447,0.5269717261904762,1.0,672.0,20.0,2.0,spot_delta,25.0,True,False,0.5310279726982117,1.4466981887817383
proto_source=spot_delta_k=25_weighted=1_learnw=0,test,1234,proto,1.6086091995239258,1.2402253150939941,-0.20010825991630554,0.07656621187925339,-0.10726406425237656,1.3778398036956787,4.135310649871826,0.03560830860534125,-0.020197231322526932,1.6348272562026978,0.006020768079906702,0.3273216485977173,1.126016616821289,0.8164889216423035,1.0000001192092896,0.5112017804154303,0.09606824925816024,0.41513353115727003,1.0,cvar,272.0,-0.6930886380303474,val_loss,0.33340269327163696,0.8219034671783447,0.5269717261904762,1.0,674.0,20.0,2.0,spot_delta,25.0,True,False,0.5310279726982117,1.4466981887817383
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,1.69044029712677,1.2528079748153687,-0.11636430025100708,0.1312956064939499,-0.036947980523109436,1.411969542503357,4.285271644592285,0.024848677922905384,-0.021356062963604927,1.7187827825546265,0.006986440159380436,0.4360201358795166,1.1268194913864136,0.6994971632957458,1.0000001192092896,0.42099394711691623,0.08916056068811723,0.331833386428799,1.0,cvar,655.0,-0.7393627254026277,val_loss,0.4360024333000183,0.7020052075386047,0.41305803571428573,1.0,3139.0,20.0,2.0,spot_delta,25.0,False,False,0.4747213125228882,1.2144742012023926
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,1.7230387926101685,1.2448947429656982,-0.0763263925909996,0.1921866536140442,0.04523805156350136,1.4134914875030518,4.137890815734863,0.01488095238095238,-0.021169060841202736,1.7513163089752197,0.007108436431735754,0.44481244683265686,1.126819372177124,0.6961472034454346,1.0000001192092896,0.41179315476190476,0.09136904761904761,0.32042410714285713,1.0,cvar,655.0,-0.7393627254026277,val_loss,0.4360024333000183,0.7020052075386047,0.41305803571428573,1.0,672.0,20.0,2.0,spot_delta,25.0,False,False,0.4747213125228882,1.2144742012023926
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,1.6373649835586548,1.2462230920791626,-0.11983440071344376,0.10142693668603897,-0.06094151362776756,1.3522855043411255,4.11326265335083,0.03115727002967359,-0.020197231322526932,1.6644660234451294,0.006903667002916336,0.4314075708389282,1.1268194913864136,0.6987549066543579,1.0000001192092896,0.4211053412462908,0.09306379821958458,0.32804154302670624,1.0,cvar,655.0,-0.7393627254026277,val_loss,0.4360024333000183,0.7020052075386047,0.41305803571428573,1.0,674.0,20.0,2.0,spot_delta,25.0,False,False,0.4747213125228882,1.2144742012023926
proto_source=spot_delta_k=50_weighted=1_learnw=0,train,1234,proto,1.6691441535949707,1.237539291381836,-0.12769494950771332,0.07714301347732544,-0.06032116338610649,1.4107600450515747,4.162681579589844,0.03122013380057343,-0.021356062963604927,1.6964733600616455,0.005973313469439745,0.3215215802192688,1.126819372177124,0.8319220542907715,1.0000001192092896,0.7033051927365404,0.10907136030582988,0.5942338324307104,1.0,cvar,750.0,-0.6905671497256983,val_loss,0.3360775411128998,0.8166675567626953,0.6803199404761905,1.0,3139.0,20.0,2.0,spot_delta,50.0,True,False,0.5307072401046753,1.4794942140579224
proto_source=spot_delta_k=50_weighted=1_learnw=0,val,1234,proto,1.6973921060562134,1.2049968242645264,-0.11724136769771576,0.1543627381324768,-0.012532107532024384,1.416549801826477,3.9775938987731934,0.023809523809523808,-0.021169060841202736,1.7245900630950928,0.006028797011822462,0.3252062201499939,1.126819372177124,0.8296918869018555,1.0,0.6989583333333333,0.1111235119047619,0.5878348214285715,1.0,cvar,750.0,-0.6905671497256983,val_loss,0.3360775411128998,0.8166675567626953,0.6803199404761905,1.0,672.0,20.0,2.0,spot_delta,50.0,True,False,0.5307072401046753,1.4794942140579224
proto_source=spot_delta_k=50_weighted=1_learnw=0,test,1234,proto,1.6231260299682617,1.2304050922393799,-0.1553361564874649,0.04823295399546623,-0.11483633518218994,1.367443561553955,4.0949273109436035,0.04154302670623145,-0.020197231322526932,1.6492209434509277,0.005897570867091417,0.3177878260612488,1.126819372177124,0.8336427807807922,1.0,0.7063798219584569,0.11313056379821959,0.5932492581602374,1.0,cvar,750.0,-0.6905671497256983,val_loss,0.3360775411128998,0.8166675567626953,0.6803199404761905,1.0,674.0,20.0,2.0,spot_delta,50.0,True,False,0.5307072401046753,1.4794942140579224
proto_source=spot_delta_k=50_weighted=0_learnw=0,train,1234,proto,1.678911566734314,1.209276556968689,-0.14356417953968048,0.08607572317123413,-0.06611628085374832,1.4386652708053589,4.127975940704346,0.03122013380057343,-0.021356062963604927,1.7066994905471802,0.006431831978261471,0.38183507323265076,1.126819372177124,0.8018040657043457,1.0000001192092896,0.6413905702453011,0.11013857916533928,0.5312519910799618,1.0,cvar,794.0,-0.7273798178845927,val_loss,0.3839322030544281,0.8058924078941345,0.6474702380952381,1.0,3139.0,20.0,2.0,spot_delta,50.0,False,False,0.7932376861572266,1.5217427015304565
proto_source=spot_delta_k=50_weighted=0_learnw=0,val,1234,proto,1.7022087574005127,1.208923578262329,-0.10904429852962494,0.17644035816192627,-0.0251998919993639,1.5036213397979736,4.08815336227417,0.023809523809523808,-0.021169060841202736,1.7298671007156372,0.006489208899438381,0.3857700526714325,1.126819372177124,0.7998862862586975,1.0000001192092896,0.6376488095238095,0.11116071428571428,0.5264880952380953,1.0,cvar,794.0,-0.7273798178845927,val_loss,0.3839322030544281,0.8058924078941345,0.6474702380952381,1.0,672.0,20.0,2.0,spot_delta,50.0,False,False,0.7932376861572266,1.5217427015304565
proto_source=spot_delta_k=50_weighted=0_learnw=0,test,1234,proto,1.6081392765045166,1.2139465808868408,-0.3506161570549011,0.04532727599143982,-0.14745716750621796,1.3691375255584717,3.930140972137451,0.040059347181008904,-0.020197231322526932,1.6346397399902344,0.006303219124674797,0.3741348087787628,1.126819372177124,0.8058969974517822,1.0000001192092896,0.6467359050445104,0.11505934718100891,0.5316765578635014,1.0,cvar,794.0,-0.7273798178845927,val_loss,0.3839322030544281,0.8058924078941345,0.6474702380952381,1.0,674.0,20.0,2.0,spot_delta,50.0,False,False,0.7932376861572266,1.5217427015304565
proto_source=spot_delta_k=100_weighted=1_learnw=0,train,1234,proto,1.6883163452148438,1.256514310836792,-0.19357091188430786,0.12842927873134613,-0.08599761873483658,1.4143035411834717,4.206448078155518,0.0273972602739726,-0.021356062963604927,1.7159699201583862,0.006297548301517963,0.345427006483078,1.1268196105957031,0.5690000057220459,1.0000001192092896,0.3012344695762982,0.10332112137623448,0.1979133482000637,1.0,cvar,734.0,-0.7922049809495607,val_loss,0.3565600514411926,0.5999634265899658,0.2864583333333333,1.0,3139.0,20.0,2.0,spot_delta,100.0,True,False,0.9183282256126404,1.5608609914779663
proto_source=spot_delta_k=100_weighted=1_learnw=0,val,1234,proto,1.7500370740890503,1.2360411882400513,-0.04873807355761528,0.22902435064315796,0.051576558500528336,1.506157636642456,4.2228169441223145,0.01636904761904762,-0.021169060841202736,1.7776013612747192,0.006395122967660427,0.351365327835083,1.1268194913864136,0.5661596655845642,1.0000001192092896,0.2954985119047619,0.10632440476190476,0.18917410714285715,1.0,cvar,734.0,-0.7922049809495607,val_loss,0.3565600514411926,0.5999634265899658,0.2864583333333333,1.0,672.0,20.0,2.0,spot_delta,100.0,True,False,0.9183282256126404,1.5608609914779663
proto_source=spot_delta_k=100_weighted=1_learnw=0,test,1234,proto,1.650981068611145,1.2484647035598755,-0.19733090698719025,0.09559173882007599,-0.11967650800943375,1.4060744047164917,4.126075267791748,0.03412462908011869,-0.020197231322526932,1.6774322986602783,0.006254072301089764,0.3435300290584564,1.1268196105957031,0.5663164258003235,1.0,0.30467359050445103,0.10489614243323442,0.1997774480712166,1.0,cvar,734.0,-0.7922049809495607,val_loss,0.3565600514411926,0.5999634265899658,0.2864583333333333,1.0,674.0,20.0,2.0,spot_delta,100.0,True,False,0.9183282256126404,1.5608609914779663
proto_source=spot_delta_k=100_weighted=0_learnw=0,train,1234,proto,1.7067234516143799,1.2510242462158203,-0.1281798630952835,0.11344882845878601,-0.042333051562309265,1.4460515975952148,4.271885395050049,0.028990124243389613,-0.021356062963604927,1.7340738773345947,0.0059945001266896725,0.3238345682621002,1.1268194913864136,0.8509968519210815,1.0000001192092896,0.7466470213443772,0.1049060210258044,0.6417410003185728,1.0,cvar,794.0,-0.7070498359771001,val_loss,0.3276258707046509,0.8449389338493347,0.7326636904761905,1.0,3139.0,20.0,2.0,spot_delta,100.0,False,False,0.5261654257774353,1.5128189325332642
proto_source=spot_delta_k=100_weighted=0_learnw=0,val,1234,proto,1.7398347854614258,1.2366551160812378,-0.10841016471385956,0.18561585247516632,0.01340627670288086,1.4913147687911987,4.101565837860107,0.020833333333333332,-0.021169060841202736,1.767080545425415,0.006076726131141186,0.32943248748779297,1.126819372177124,0.8480303287506104,1.0000001192092896,0.739657738095238,0.10658482142857142,0.6330729166666667,1.0,cvar,794.0,-0.7070498359771001,val_loss,0.3276258707046509,0.8449389338493347,0.7326636904761905,1.0,672.0,20.0,2.0,spot_delta,100.0,False,False,0.5261654257774353,1.5128189325332642
