model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=zero_k=25_weighted=1_learnw=0,test,1234,proto,-0.0061714742332696915,0.06387028098106384,-0.12248390145599843,-0.10286346040666103,-0.11872664839029312,-0.007811366347596049,0.10563669688999647,0.5641025641025641,-0.02270488254725933,0.01670440472662449,0.0001709965872578323,0.011122132651507854,0.03450828790664673,0.10691135376691818,0.39463233947753906,cvar,78.0,20.0,2.0,zero,25.0,True,False,0.07318119704723358,0.14144133031368256
proto_source=zero_k=25_weighted=0_learnw=0,train,1234,proto,-0.009159361012279987,0.028143469244241714,-0.08704515665769577,-0.057703012228012086,-0.07304584234952927,-0.008759803138673306,0.03436060454696416,0.6061452513966481,-0.023125624284148216,0.014188246801495552,0.0002219814487034455,0.024144301190972328,0.055178940296173096,0.25157707929611206,1.0235869884490967,cvar,358.0,20.0,2.0,zero,25.0,False,False,0.0767943263053894,0.14423689246177673
proto_source=zero_k=25_weighted=0_learnw=0,val,1234,proto,-0.005272396374493837,0.024991508573293686,-0.05954756587743759,-0.05112645402550697,-0.058063916862010956,-0.0029646644834429026,0.03270539082586765,0.5657894736842105,-0.02062208577990532,0.015569525770843029,0.0002198366419179365,0.02417406067252159,0.05403175950050354,0.2527340352535248,1.025313377380371,cvar,76.0,20.0,2.0,zero,25.0,False,False,0.0767943263053894,0.14423689246177673
proto_source=zero_k=25_weighted=0_learnw=0,test,1234,proto,-0.008851862512528896,0.028590058907866478,-0.07795363754034042,-0.05292470846325159,-0.07284079492092133,-0.008630340918898582,0.03187127588316789,0.6025641025641025,-0.02270488254725933,0.014072809368371964,0.0002197889261879027,0.023943504318594933,0.05412691831588745,0.24983848631381989,0.982765793800354,cvar,78.0,20.0,2.0,zero,25.0,False,False,0.0767943263053894,0.14423689246177673
proto_source=zero_k=50_weighted=1_learnw=0,train,1234,proto,-0.021697023883461952,0.028925670310854912,-0.11232187151908875,-0.06617422141134739,-0.0942380428314209,-0.01869006920605898,0.015585462655872096,0.7821229050279329,-0.023125624284148216,0.0014846839476376772,5.6081931688822806e-05,0.004659534431993961,0.06448715925216675,0.05205826833844185,0.9713548421859741,cvar,358.0,20.0,2.0,zero,50.0,True,False,0.0689634457230568,0.1450783759355545
proto_source=zero_k=50_weighted=1_learnw=0,val,1234,proto,-0.018541239202022552,0.024540401995182037,-0.07873293571174145,-0.0641870815306902,-0.07560916244983673,-0.012209896929562092,0.012682286789640784,0.7763157894736842,-0.02062208577990532,0.0021342008840292692,5.3353167459135875e-05,0.004526134580373764,0.01688397116959095,0.051500581204891205,0.19995500147342682,cvar,76.0,20.0,2.0,zero,50.0,True,False,0.0689634457230568,0.1450783759355545
proto_source=zero_k=50_weighted=1_learnw=0,test,1234,proto,-0.019607793539762497,0.02832774445414543,-0.10654740571975709,-0.07074018418788909,-0.09958872199058533,-0.015825328417122364,0.018754852656274898,0.8205128205128205,-0.02270488254725933,0.003151341574266553,5.42515808774624e-05,0.004483852535486221,0.021694675087928772,0.05056270584464073,0.17999611794948578,cvar,78.0,20.0,2.0,zero,50.0,True,False,0.0689634457230568,0.1450783759355545
proto_source=zero_k=50_weighted=0_learnw=0,train,1234,proto,-0.019342495128512383,0.01911562867462635,-0.08132428474724293,-0.0517098642885685,-0.06872650235891342,-0.016886457800865173,0.00769741120748221,0.88268156424581,-0.023125624284148216,0.003980372101068497,0.00019724125741049647,0.023315267637372017,0.046773672103881836,0.2425205111503601,0.9283182621002197,cvar,358.0,20.0,2.0,zero,50.0,False,False,0.07227195054292679,0.14880390465259552
proto_source=zero_k=50_weighted=0_learnw=0,val,1234,proto,-0.016021009534597397,0.014911671169102192,-0.054416521452367306,-0.04546387027949095,-0.053970128297805786,-0.011661139316856861,0.0005854406044818461,0.9342105263157895,-0.02062208577990532,0.0047974614426493645,0.00019638502271845937,0.02339911460876465,0.04673272371292114,0.24354368448257446,0.9289999008178711,cvar,76.0,20.0,2.0,zero,50.0,False,False,0.07227195054292679,0.14880390465259552
proto_source=zero_k=50_weighted=0_learnw=0,test,1234,proto,-0.018993297591805458,0.01821250282227993,-0.07611603371798992,-0.0537141602486372,-0.06846987456083298,-0.014962296467274427,0.005303181917406616,0.8846153846153846,-0.02270488254725933,0.003909695893526077,0.00019810895901173353,0.023391472175717354,0.04676586389541626,0.2431262731552124,0.9267023801803589,cvar,78.0,20.0,2.0,zero,50.0,False,False,0.07227195054292679,0.14880390465259552
