artifact_dir,model_name,model_family,seed,risk_measure,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,best_epoch,best_score
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_10_weighted_1_learnw_0,proto_source=vanilla_k=10_weighted=1_learnw=0,proto,2345,cvar,vanilla,10.0,True,False,689,-0.6583964083024434
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_25_weighted_0_learnw_0,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,2345,cvar,vanilla,25.0,False,False,722,-0.7877382264676548
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_25_weighted_1_learnw_0,proto_source=vanilla_k=25_weighted=1_learnw=0,proto,2345,cvar,vanilla,25.0,True,False,324,-0.6276938727923802
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_50_weighted_0_learnw_0,proto_source=vanilla_k=50_weighted=0_learnw=0,proto,2345,cvar,vanilla,50.0,False,False,356,-0.659772818549758
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_50_weighted_1_learnw_0,proto_source=vanilla_k=50_weighted=1_learnw=0,proto,2345,cvar,vanilla,50.0,True,False,759,-0.6384775465513979
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/vanilla,vanilla,vanilla,2345,cvar,,,,,785,-0.7560193248731749
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_100_weighted_0_learnw_0,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3456,cvar,spot_delta,100.0,False,False,418,-0.65125588105548
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_100_weighted_1_learnw_0,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3456,cvar,spot_delta,100.0,True,False,758,-0.7544045880224024
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,3456,cvar,spot_delta,10.0,False,False,799,-0.7552475959843113
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_10_weighted_1_learnw_0,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,3456,cvar,spot_delta,10.0,True,False,518,-0.6796703004269373
