model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0216652813057104,0.0008698114386446,-0.06364548082153,-0.0843766008814175,0.9220694171578258,0.9351222713788352,0.0241895938913027,0.0377865094957432,0.0377865094957432,0.0,0.2861820563195809,24.666666666666668,0.076304727826374,0.0003944773175542,0.009861932938856,,True,True,True,0.0004994999617338,0.0003414483120044,0.0003622726847728,1.648006339867794e-05,0.0063452447454134,0.0058306033412615,0.0057423387964566,0.0015713796019554,-0.2141453831041256,-0.0641781270464962,-0.0641781270464962,0.0078585461689586,SPY,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0218910674254099,0.0007953063288186,-0.066220241288344,-0.0868516812721888,0.899803536345776,0.7243724664052328,0.0131069347262382,0.0,0.0,0.0,0.0,15.666666666666666,0.0764752406187179,0.0003944773175542,0.0019723865877712,,True,True,True,0.0002737138420343,0.0001156621923049,0.0001364865650733,-0.0002093060563008,0.0038701643546422,0.0033555229504903,0.0032672584056854,-0.0009037007888158,-0.1918795022920759,-0.0419122462344465,-0.0419122462344465,0.0301244269810083,SPY,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0220067296177148,0.0007144938450925,-0.0656086206436157,-0.0902072042226791,0.8578912901113295,0.6168549855550131,0.0184921603649854,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0001580516497294,0.0,2.08243727684021e-05,-0.0003249682486057,0.0005146414041519,0.0,-8.826454480488632e-05,-0.0042592237393061,-0.1499672560576294,0.0,0.0,0.0720366732154549,SPY,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0220275539904832,0.0007178524322616,-0.0658703620235125,-0.0901189396778742,0.8578912901113295,0.5935216546058655,0.0146709845090905,0.0,0.0,0.0,0.0,,,,,0.0233333333333333,True,True,True,0.000137227276961,-2.08243727684021e-05,0.0,-0.0003457926213741,0.0006029059489568,8.826454480488632e-05,0.0,-0.0041709591945012,-0.1499672560576294,0.0,0.0,0.0720366732154549,SPY,Spot-Delta Band
unhedged,baseline,,,,,,3,-0.0221647812674442,0.0007100582493274,-0.0689001580079396,-0.090721845626831,0.7079240340537001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0001580516497294,-0.000137227276961,-0.0004830198983351,0.0,-0.0005146414041519,-0.0006029059489568,-0.004773865143458,0.0,0.1499672560576294,0.1499672560576294,0.2220039292730843,SPY,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0216817613691091,0.0006285592335964,-0.0645255496104558,-0.085947980483373,0.9299279633267844,1.0,0.0250551166633764,0.1929600523903077,0.1929600523903077,0.0,1.0,361.3333333333333,0.0763862713325932,0.0005588428665351,0.019723865877712,,True,True,True,0.0004830198983351,0.0003249682486057,0.0003457926213741,0.0,0.004773865143458,0.0042592237393061,0.0041709591945012,0.0,-0.2220039292730843,-0.0720366732154549,-0.0720366732154549,0.0,SPY,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0136628821492195,0.0020139691131896,-0.0560539613167444,-0.083005907634894,0.8341121495327103,1.0,0.03486428471903,0.014154984423676,0.0125389408099688,0.0016160436137071,0.1238317757009345,363.3333333333333,0.0538940977406759,0.001564945226917,0.0211267605633802,,True,True,True,0.0005302109445134,0.0008577952782313,0.0007552774623036,0.0006012246012687,0.0003963435689608,-0.0008991335829099,-0.0006526385744412,-0.0006447955965995,-0.3317757009345794,-0.0591900311526479,-0.0560747663551403,0.1635514018691589,TLT,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0138952151561776,0.0015784524960077,-0.0558043842514356,-0.0805692623058954,0.8862928348909658,0.854457418123881,0.023643409833312,0.0203855140186915,0.0202881619937694,9.735202492211838e-05,0.1292834890965732,26.0,0.0543004142784357,0.0009194053208137,0.0226917057902973,,True,True,True,0.0002978779375553,0.0006254622712731,0.0005229444553454,0.0003688915943106,0.0028329888979593,0.0015375117460886,0.0017840067545572,0.0017918497323989,-0.3839563862928349,-0.1113707165109034,-0.1082554517133957,0.1113707165109034,TLT,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0145206774274508,0.0020014579265184,-0.0597873392204443,-0.0821067740519841,0.7749221183800623,0.582252025604248,0.0204588156193494,0.0,0.0,0.0,0.0,,,,,,True,True,True,-0.0003275843337178,0.0,-0.0001025178159276,-0.0002565706769625,0.0012954771518707,0.0,0.0002464950084686,0.0002543379863103,-0.2725856697819314,0.0,0.0031152647975076,0.2227414330218069,TLT,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0144181596115231,0.0019136131198476,-0.0597264990210533,-0.0823532690604527,0.77803738317757,0.4322520196437835,0.0096874327088395,0.0,0.0,0.0,0.0,,,,,0.15,True,True,True,-0.0002250665177901,0.0001025178159276,0.0,-0.0001540528610348,0.001048982143402,-0.0002464950084686,0.0,7.842977841704402e-06,-0.2757009345794391,-0.0031152647975076,0.0,0.2196261682242992,TLT,Spot-Delta Band
