regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob,seed,analysis_label,paper_label
vol_regime,mid_vol,unhedged_gains,224,-0.021243172032492503,-0.06931024193763732,-0.0923652450243632,0.6383928571428571,2345,unhedged,Unhedged
vol_regime,mid_vol,spot_delta_gains,224,-0.020333973344674763,-0.05634700208902359,-0.08025177971770366,0.8214285714285714,2345,spot_delta,Spot-Delta
vol_regime,mid_vol,vanilla_gains,224,1.7662339528823006,0.3630337581038475,0.11377727550764878,0.017857142857142856,2345,vanilla,Vanilla DH
vol_regime,mid_vol,proto_mean_gains,224,1.7481461709331987,0.2828376978635788,0.024242044426500797,0.022321428571428572,2345,proto_mean,ProtoHedge (Mean frontier)
vol_regime,mid_vol,proto_tail_gains,224,1.7280890191822047,0.1989312805235386,0.029750801467647154,0.013392857142857142,2345,proto_tail,ProtoHedge (Tail frontier)
vol_regime,high_vol,unhedged_gains,225,-0.021441091961330837,-0.07585246562957763,-0.11862449844678243,0.5822222222222222,2345,unhedged,Unhedged
vol_regime,high_vol,spot_delta_gains,225,-0.0227619007505968,-0.07899488806724549,-0.115822559222579,0.8266666666666667,2345,spot_delta,Spot-Delta
vol_regime,high_vol,vanilla_gains,225,1.9460340639534923,0.18500156402587897,-0.039309960013876356,0.03111111111111111,2345,vanilla,Vanilla DH
vol_regime,high_vol,proto_mean_gains,225,1.9201201035558348,0.17272097170352937,-0.06489610427524894,0.02666666666666667,2345,proto_mean,ProtoHedge (Mean frontier)
vol_regime,high_vol,proto_tail_gains,225,1.8432910943445233,0.12366807162761691,-0.13219140764946738,0.03111111111111111,2345,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mild_dd,unhedged_gains,225,-0.011510991520351834,-0.06630923748016357,-0.11236366629600525,0.27111111111111114,2345,unhedged,Unhedged
drawdown_regime,mild_dd,spot_delta_gains,225,-0.013569048203644343,-0.06271421685814857,-0.1064439273128907,0.6533333333333333,2345,spot_delta,Spot-Delta
drawdown_regime,mild_dd,vanilla_gains,225,1.5730693065871795,0.15941108465194703,-0.021140994348873694,0.022222222222222223,2345,vanilla,Vanilla DH
drawdown_regime,mild_dd,proto_mean_gains,225,1.539966605204261,0.14827624857425692,8.208983733008306e-05,0.013333333333333334,2345,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mild_dd,proto_tail_gains,225,1.4630845678763258,0.10971019268035889,-0.04440483652676145,0.02666666666666667,2345,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mid_dd,unhedged_gains,224,-0.02149736402290208,-0.0689395785331726,-0.09386345744132996,0.7276785714285714,2345,unhedged,Unhedged
drawdown_regime,mid_dd,spot_delta_gains,224,-0.021314354956692632,-0.06898484975099564,-0.08884747885167599,0.8616071428571429,2345,spot_delta,Spot-Delta
