model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,5.158178329467773,2.7728049755096436,0.2189643532037735,1.1145501136779785,0.5275553464889526,4.804853439331055,10.46629810333252,0.004451038575667656,-0.020197231322526932,5.196091651916504,0.017715953290462494,1.0055482387542725,4.0,1.380232572555542,2.0,cvar,674.0,20.0,2.0,spot_delta,25.0,False,False,2.418440580368042,5.113602161407471
proto_source=spot_delta_k=50_weighted=1_learnw=0,train,1234,proto,5.280160903930664,2.7447593212127686,0.36709898710250854,1.2593135833740234,0.7031609416007996,4.849120616912842,10.556642532348633,0.002867155144950621,-0.021356062963604927,5.319349765777588,0.017832718789577484,1.0022029876708984,4.0,1.382665753364563,2.0,cvar,3139.0,20.0,2.0,spot_delta,50.0,True,False,1.2239199876785278,5.002058506011963
proto_source=spot_delta_k=50_weighted=1_learnw=0,val,1234,proto,5.375888824462891,2.7432589530944824,0.40150564908981323,1.5541319847106934,0.8785500526428223,5.046196937561035,10.724471092224121,0.001488095238095238,-0.021169060841202736,5.415129661560059,0.018071249127388,1.0175504684448242,4.0,1.3899935483932495,2.0,cvar,672.0,20.0,2.0,spot_delta,50.0,True,False,1.2239199876785278,5.002058506011963
proto_source=spot_delta_k=50_weighted=1_learnw=0,test,1234,proto,5.2016754150390625,2.8433051109313965,0.25276774168014526,0.9665687680244446,0.449929416179657,4.796398162841797,10.407560348510742,0.002967359050445104,-0.020197231322526932,5.23926305770874,0.017390867695212364,0.9789890050888062,4.0,1.3872509002685547,2.0,cvar,674.0,20.0,2.0,spot_delta,50.0,True,False,1.2239199876785278,5.002058506011963
proto_source=spot_delta_k=50_weighted=0_learnw=0,train,1234,proto,5.305248737335205,2.693262815475464,0.48961806297302246,1.4447987079620361,0.8499180674552917,4.885693073272705,10.52711296081543,0.0015928639694170119,-0.021356062963604927,5.344264030456543,0.01765909604728222,0.9935652017593384,4.0,1.284544587135315,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,50.0,False,False,1.749407172203064,4.958725452423096
proto_source=spot_delta_k=50_weighted=0_learnw=0,val,1234,proto,5.389124870300293,2.6698741912841797,0.6974842548370361,1.4827499389648438,0.9360126852989197,5.003774642944336,10.839301109313965,0.004464285714285714,-0.021169060841202736,5.42821741104126,0.017923004925251007,1.011257529258728,4.0,1.2857054471969604,2.0,cvar,672.0,20.0,2.0,spot_delta,50.0,False,False,1.749407172203064,4.958725452423096
proto_source=spot_delta_k=50_weighted=0_learnw=0,test,1234,proto,5.219157695770264,2.775710344314575,0.24801959097385406,1.2158259153366089,0.6623637080192566,4.837658882141113,10.42279052734375,0.002967359050445104,-0.020197231322526932,5.256840705871582,0.017485613003373146,0.985185444355011,4.0,1.2867259979248047,2.000000238418579,cvar,674.0,20.0,2.0,spot_delta,50.0,False,False,1.749407172203064,4.958725452423096
proto_source=spot_delta_k=100_weighted=1_learnw=0,train,1234,proto,5.270224571228027,2.716794013977051,0.5639176964759827,1.5050208568572998,0.9152771830558777,4.786221504211426,10.5606689453125,0.0006371455877668047,-0.021356062963604927,5.309530258178711,0.017949331551790237,0.9883019924163818,4.0,1.499013900756836,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,100.0,True,False,2.3032944202423096,5.169479846954346
proto_source=spot_delta_k=100_weighted=1_learnw=0,val,1234,proto,5.35339879989624,2.7374191284179688,0.6344388127326965,1.6149920225143433,1.0015709400177002,4.837193012237549,10.807244300842285,0.002976190476190476,-0.021169060841202736,5.39292049407959,0.018352556973695755,1.0130761861801147,4.0,1.4900623559951782,2.000000238418579,cvar,672.0,20.0,2.0,spot_delta,100.0,True,False,2.3032944202423096,5.169479846954346
proto_source=spot_delta_k=100_weighted=1_learnw=0,test,1234,proto,5.184873104095459,2.79992413520813,0.4578064978122711,1.0266168117523193,0.616870641708374,4.725597381591797,10.459948539733887,0.004451038575667656,-0.020197231322526932,5.222931385040283,0.017860474064946175,0.9826602339744568,4.0,1.4930294752120972,2.0,cvar,674.0,20.0,2.0,spot_delta,100.0,True,False,2.3032944202423096,5.169479846954346
proto_source=spot_delta_k=100_weighted=0_learnw=0,train,1234,proto,5.220624923706055,2.714765787124634,0.44537824392318726,1.44154691696167,0.8077813386917114,4.797721862792969,10.490074157714844,0.002548582351067219,-0.021356062963604927,5.259541034698486,0.01755945384502411,0.9432498812675476,4.0,1.1777377128601074,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,100.0,False,False,1.141318678855896,4.892451763153076
proto_source=spot_delta_k=100_weighted=0_learnw=0,val,1234,proto,5.347894668579102,2.7202844619750977,0.7937058210372925,1.6227983236312866,1.0466846227645874,4.8807053565979,10.71174430847168,0.001488095238095238,-0.021169060841202736,5.386929035186768,0.017865370959043503,0.9620826840400696,4.0,1.173706293106079,2.0,cvar,672.0,20.0,2.0,spot_delta,100.0,False,False,1.141318678855896,4.892451763153076
proto_source=spot_delta_k=100_weighted=0_learnw=0,test,1234,proto,5.115752220153809,2.827390193939209,0.3467675745487213,1.0324457883834839,0.5746599435806274,4.709901809692383,10.40557861328125,0.002967359050445104,-0.020197231322526932,5.153285503387451,0.017336459830403328,0.9299473166465759,4.0,1.1776741743087769,2.0,cvar,674.0,20.0,2.0,spot_delta,100.0,False,False,1.141318678855896,4.892451763153076
proto_source=vanilla_k=10_weighted=1_learnw=0,train,1234,proto,4.860963344573975,2.7766025066375732,0.0189278032630682,0.9636073708534241,0.36510199308395386,4.428023338317871,10.380424499511719,0.008601465434851864,-0.021356062963604927,4.898539066314697,0.016219444572925568,0.8745874762535095,4.0,1.6267303228378296,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,10.0,True,False,2.757544994354248,4.998761177062988
proto_source=vanilla_k=10_weighted=1_learnw=0,val,1234,proto,4.973844051361084,2.7819228172302246,0.09384778141975403,1.2172025442123413,0.5559965968132019,4.593001365661621,10.50301742553711,0.00744047619047619,-0.021169060841202736,5.011490821838379,0.016477029770612717,0.8916874527931213,4.0,1.6364293098449707,2.0,cvar,672.0,20.0,2.0,vanilla,10.0,True,False,2.757544994354248,4.998761177062988
proto_source=vanilla_k=10_weighted=1_learnw=0,test,1234,proto,4.782426357269287,2.9404821395874023,-0.13623687624931335,0.5825072526931763,0.14683908224105835,4.376804828643799,10.426128387451172,0.016320474777448073,-0.020197231322526932,4.818534851074219,0.015911832451820374,0.858227014541626,4.0,1.6279709339141846,2.0,cvar,674.0,20.0,2.0,vanilla,10.0,True,False,2.757544994354248,4.998761177062988
proto_source=vanilla_k=10_weighted=0_learnw=0,train,1234,proto,4.7701921463012695,2.68196964263916,0.3813416063785553,1.1304466724395752,0.6404904127120972,4.308718204498291,9.883663177490234,0.0022300095571838167,-0.021356062963604927,4.807654857635498,0.01610700972378254,0.8877531886100769,4.0,1.6464329957962036,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,10.0,False,False,2.2164337635040283,4.994431018829346
