model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=10_weighted=1_learnw=0,val,1234,proto,4.272561550140381,3.9410645961761475,-2.0540249347686768,-0.6622190475463867,-1.6056396961212158,3.5202713012695312,11.411027908325195,0.09970238095238096,-0.021169060841202736,4.310738563537598,0.01700803078711033,0.929459273815155,4.0,1.7722246646881104,2.000000238418579,0.5595238095238095,0.22689732142857144,0.3326264880952381,1.0,cvar,672.0,20.0,2.0,spot_delta,10.0,True,False,3.2730870246887207,5.052207946777344
proto_source=spot_delta_k=10_weighted=1_learnw=0,test,1234,proto,4.072739601135254,4.311896324157715,-2.3826043605804443,-0.909629225730896,-1.8871350288391113,2.9903526306152344,12.331048011779785,0.10385756676557864,-0.020197231322526932,4.109586715698242,0.016649499535560608,0.9051801562309265,4.0,1.7616822719573975,2.000000238418579,0.557566765578635,0.22603857566765578,0.3315281899109792,1.0,cvar,674.0,20.0,2.0,spot_delta,10.0,True,False,3.2730870246887207,5.052207946777344
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,4.456412315368652,3.7469141483306885,-0.6418284773826599,-0.0006384737207554281,-0.3972563147544861,3.7011165618896484,12.273550987243652,0.05033450143357757,-0.021356062963604927,4.492913722991943,0.01514570415019989,0.8145748376846313,4.0,1.2175408601760864,2.000000238418579,0.4481920993947117,0.2667489646384199,0.1814431347562918,1.0,cvar,3139.0,20.0,2.0,spot_delta,10.0,False,False,2.9555201530456543,4.9518537521362305
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,4.486711025238037,3.6933445930480957,-0.7036662101745605,-0.07458116859197617,-0.4457970857620239,3.8207790851593018,11.785703659057617,0.06101190476190476,-0.021169060841202736,4.523102760314941,0.01522269006818533,0.821864902973175,4.0,1.2280665636062622,2.000000238418579,0.4484375,0.2716889880952381,0.1767485119047619,1.0,cvar,672.0,20.0,2.0,spot_delta,10.0,False,False,2.9555201530456543,4.9518537521362305
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,4.295633792877197,3.7833359241485596,-0.6687699556350708,-0.017583411186933517,-0.5033863186836243,3.385335922241211,11.849533081054688,0.05192878338278932,-0.020197231322526932,4.330798149108887,0.014967381954193115,0.8046225309371948,4.0,1.2257951498031616,2.000000238418579,0.4513353115727003,0.26943620178041544,0.18189910979228488,1.0,cvar,674.0,20.0,2.0,spot_delta,10.0,False,False,2.9555201530456543,4.9518537521362305
proto_source=spot_delta_k=25_weighted=1_learnw=0,train,1234,proto,4.050121784210205,3.91778302192688,-2.2383275032043457,-0.5468536019325256,-1.6238642930984497,3.191807270050049,11.899527549743652,0.08920038228735266,-0.021356062963604927,4.088239669799805,0.016761207953095436,0.9244124889373779,4.0,1.8322910070419312,2.000000238418579,0.6138897738133163,0.40770149729213123,0.2061882765211851,1.0,cvar,3139.0,20.0,2.0,spot_delta,25.0,True,False,2.7554078102111816,4.935650825500488
proto_source=spot_delta_k=25_weighted=1_learnw=0,val,1234,proto,4.067144393920898,3.9637417793273926,-1.8197705745697021,-0.7771821618080139,-1.5406097173690796,3.0770416259765625,12.16576862335205,0.09970238095238096,-0.021169060841202736,4.105052947998047,0.016739359125494957,0.9279567003250122,4.0,1.8338465690612793,2.0,0.6183035714285714,0.4147321428571429,0.20357142857142857,1.0,cvar,672.0,20.0,2.0,spot_delta,25.0,True,False,2.7554078102111816,4.935650825500488
proto_source=spot_delta_k=25_weighted=1_learnw=0,test,1234,proto,3.898275136947632,3.9653751850128174,-2.3470394611358643,-0.7810863256454468,-1.6886167526245117,3.0192975997924805,10.954167366027832,0.11127596439169139,-0.020197231322526932,3.9349172115325928,0.01644492708146572,0.9088303446769714,4.0,1.8358855247497559,2.000000238418579,0.6159124629080118,0.40986646884273,0.2060459940652819,1.0,cvar,674.0,20.0,2.0,spot_delta,25.0,True,False,2.7554078102111816,4.935650825500488
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,4.636022090911865,3.827167272567749,-1.1936886310577393,0.030115174129605293,-0.7769443988800049,3.8233752250671387,12.139134407043457,0.04874163746416056,-0.021356062963604927,4.674103260040283,0.016725338995456696,0.8931249976158142,4.0,1.0496078729629517,2.000000238418579,0.3520468302007009,0.20924657534246574,0.1428002548582351,1.0,cvar,3139.0,20.0,2.0,spot_delta,25.0,False,False,1.204966425895691,4.945627212524414
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,4.640961170196533,3.6907429695129395,-1.0066351890563965,0.15016844868659973,-0.6441704630851746,4.03127384185791,11.69420051574707,0.041666666666666664,-0.021169060841202736,4.678940773010254,0.016810769215226173,0.8997123837471008,4.0,1.0533771514892578,2.000000476837158,0.3508556547619048,0.2113095238095238,0.13954613095238094,1.0,cvar,672.0,20.0,2.0,spot_delta,25.0,False,False,1.204966425895691,4.945627212524414
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,4.437219619750977,3.9084014892578125,-1.2871476411819458,-0.05747827887535095,-0.8297603726387024,3.6042227745056152,12.191737174987793,0.05489614243323442,-0.020197231322526932,4.47393798828125,0.016521180048584938,0.8831974864006042,4.0,1.0492154359817505,2.000000476837158,0.35237388724035607,0.20934718100890207,0.143026706231454,1.0,cvar,674.0,20.0,2.0,spot_delta,25.0,False,False,1.204966425895691,4.945627212524414
proto_source=spot_delta_k=50_weighted=1_learnw=0,train,1234,proto,4.588059425354004,4.054828643798828,-1.7734335660934448,-0.28752201795578003,-1.2581297159194946,3.708646297454834,12.636198043823242,0.0678560050971647,-0.021356062963604927,4.626117706298828,0.016702037304639816,0.930647611618042,4.0,1.5242277383804321,2.000000238418579,0.5368748008920038,0.20093182542210894,0.3359429754698949,1.0,cvar,3139.0,20.0,2.0,spot_delta,50.0,True,False,1.8804669380187988,4.995704174041748
proto_source=spot_delta_k=50_weighted=1_learnw=0,val,1234,proto,4.617313861846924,3.9197676181793213,-1.399050235748291,0.002977470401674509,-0.843456506729126,3.843986988067627,12.092876434326172,0.049107142857142856,-0.021169060841202736,4.655383110046387,0.016900185495615005,0.9443224668502808,4.0,1.50658118724823,2.000000238418579,0.5280133928571429,0.20383184523809525,0.3241815476190476,1.0,cvar,672.0,20.0,2.0,spot_delta,50.0,True,False,1.8804669380187988,4.995704174041748
proto_source=spot_delta_k=50_weighted=1_learnw=0,test,1234,proto,4.395511150360107,4.243375301361084,-2.1085166931152344,-0.39256614446640015,-1.607862114906311,3.326876163482666,12.816374778747559,0.07418397626112759,-0.020197231322526932,4.43232536315918,0.016616657376289368,0.9255732297897339,4.0,1.5109622478485107,2.000000238418579,0.5335682492581603,0.19851632047477744,0.3350519287833828,1.0,cvar,674.0,20.0,2.0,spot_delta,50.0,True,False,1.8804669380187988,4.995704174041748
proto_source=spot_delta_k=50_weighted=0_learnw=0,train,1234,proto,4.883314609527588,4.146078109741211,-1.3753345012664795,-0.11261521279811859,-0.8837308287620544,3.958116292953491,13.253889083862305,0.05543166613571201,-0.021356062963604927,4.921990871429443,0.017320066690444946,0.9502325654029846,4.0,1.1516284942626953,2.000000238418579,0.46244026760114687,0.21280662631411276,0.24963364128703408,1.0,cvar,3139.0,20.0,2.0,spot_delta,50.0,False,False,2.1721954345703125,4.920638561248779
proto_source=spot_delta_k=50_weighted=0_learnw=0,val,1234,proto,4.877545356750488,3.969045400619507,-1.4554333686828613,0.14072582125663757,-0.8353572487831116,4.061291694641113,12.49336051940918,0.047619047619047616,-0.021169060841202736,4.9162492752075195,0.017534807324409485,0.9625319242477417,4.0,1.1462911367416382,2.0,0.45985863095238094,0.21510416666666668,0.2447544642857143,1.0,cvar,672.0,20.0,2.0,spot_delta,50.0,False,False,2.1721954345703125,4.920638561248779
proto_source=spot_delta_k=50_weighted=0_learnw=0,test,1234,proto,4.680333137512207,4.179041385650635,-1.6485204696655273,-0.07659567892551422,-1.0048460960388184,3.7148098945617676,12.79411792755127,0.05341246290801187,-0.020197231322526932,4.717673301696777,0.017143288627266884,0.939662754535675,4.0,1.1498101949691772,2.000000238418579,0.4620919881305638,0.21224035608308606,0.24985163204747773,1.0,cvar,674.0,20.0,2.0,spot_delta,50.0,False,False,2.1721954345703125,4.920638561248779
proto_source=spot_delta_k=100_weighted=1_learnw=0,train,1234,proto,4.514018535614014,3.845921277999878,-1.150116205215454,-0.09206449240446091,-0.7711469531059265,3.692528486251831,12.434597969055176,0.05511309334182861,-0.021356062963604927,4.550778865814209,0.015403946861624718,0.8272401094436646,4.0,1.3987282514572144,2.000000238418579,0.4553440586173941,0.2443453329085696,0.21099872570882447,1.0,cvar,3139.0,20.0,2.0,spot_delta,100.0,True,False,1.4683407545089722,5.074354648590088
proto_source=spot_delta_k=100_weighted=1_learnw=0,val,1234,proto,4.566697120666504,3.7163727283477783,-1.159833312034607,0.10433436930179596,-0.6115924715995789,3.874901294708252,11.81053352355957,0.047619047619047616,-0.021169060841202736,4.603458404541016,0.015592345036566257,0.8399194478988647,4.0,1.3959225416183472,2.000000238418579,0.4550223214285714,0.25037202380952384,0.20465029761904763,1.0,cvar,672.0,20.0,2.0,spot_delta,100.0,True,False,1.4683407545089722,5.074354648590088
