PERMNO,date,PRC
60716,1973-11-21,-26.37500
60716,1973-11-23,-26.12500
60716,1973-11-26,-25.12500
60716,1973-11-27,-24.87500
60716,1973-11-28,-25.12500
60716,1973-11-29,-24.62500
60716,1973-11-30,-23.12500
60716,1973-12-03,-23.12500
60716,1973-12-04,-22.12500
60716,1973-12-05,-21.12500
60716,1973-12-06,-22.62500
60716,1973-12-07,-23.87500
60716,1973-12-10,-24.12500
60716,1973-12-11,-24.62500
60716,1973-12-12,-22.62500
60716,1973-12-13,-20.12500
60716,1973-12-14,-22.12500
60716,1973-12-17,-22.87500
60716,1973-12-18,-26.37500
60716,1973-12-19,-24.62500
60716,1973-12-20,-24.12500
60716,1973-12-21,-24.87500
60716,1973-12-24,-24.87500
60716,1973-12-26,-26.37500
60716,1973-12-27,-27.37500
60716,1973-12-28,-27.37500
60716,1973-12-31,-26.87500
60716,1974-01-02,-26.12500
60716,1974-01-03,-25.12500
60716,1974-01-04,-24.87500
60716,1974-01-07,-24.12500
60716,1974-01-08,-21.87500
60716,1974-01-09,-21.12500
60716,1974-01-10,-20.62500
60716,1974-01-11,-23.12500
60716,1974-01-14,-23.37500
60716,1974-01-15,-22.37500
60716,1974-01-16,-23.12500
60716,1974-01-17,-24.37500
60716,1974-01-18,-23.37500
60716,1974-01-21,-23.87500
60716,1974-01-22,-24.62500
60716,1974-01-23,-23.87500
60716,1974-01-24,-23.87500
60716,1974-01-25,-24.62500
60716,1974-01-28,-24.12500
60716,1974-01-29,-24.37500
60716,1974-01-30,-24.12500
60716,1974-01-31,-24.37500
60716,1974-02-01,-23.37500
60716,1974-02-04,-22.87500
60716,1974-02-05,-23.12500
60716,1974-02-06,-23.87500
60716,1974-02-07,-24.87500
60716,1974-02-08,-24.37500
60716,1974-02-11,-23.62500
60716,1974-02-12,-23.87500
60716,1974-02-13,-22.12500
60716,1974-02-14,-21.87500
60716,1974-02-15,-21.87500
60716,1974-02-19,-21.87500
60716,1974-02-20,-23.12500
60716,1974-02-21,-22.87500
60716,1974-02-22,-23.37500
60716,1974-02-25,-23.62500
60716,1974-02-26,-22.62500
60716,1974-02-27,-22.62500
60716,1974-02-28,-21.12500
60716,1974-03-01,-19.75000
60716,1974-03-04,-20.50000
60716,1974-03-05,-22.00000
60716,1974-03-06,-22.37500
60716,1974-03-07,-22.62500
60716,1974-03-08,-24.37500
60716,1974-03-11,-24.37500
60716,1974-03-12,-23.62500
60716,1974-03-13,-24.12500
60716,1974-03-14,-24.12500
60716,1974-03-15,-24.12500
60716,1974-03-18,-24.12500
60716,1974-03-19,-23.87500
60716,1974-03-20,-24.87500
60716,1974-03-21,-24.62500
60716,1974-03-22,-24.12500
60716,1974-03-25,-24.12500
60716,1974-03-26,-23.87500
60716,1974-03-27,-22.87500
60716,1974-03-28,-20.87500
60716,1974-03-29,-21.62500
60716,1974-04-01,-20.87500
60716,1974-04-02,-21.12500
60716,1974-04-03,-21.12500
60716,1974-04-04,-21.12500
60716,1974-04-05,-21.12500
60716,1974-04-08,-20.87500
60716,1974-04-09,-22.12500
60716,1974-04-10,-22.37500
60716,1974-04-11,-22.12500
60716,1974-04-15,-21.87500
60716,1974-04-16,-21.87500
60716,1974-04-17,-22.12500
60716,1974-04-18,-21.87500
60716,1974-04-19,-20.62500
60716,1974-04-22,-20.37500
60716,1974-04-23,-19.37500
60716,1974-04-24,-19.62500
60716,1974-04-25,-19.62500
60716,1974-04-26,-20.12500
60716,1974-04-29,-21.62500
60716,1974-04-30,-21.62500
60716,1974-05-01,-21.62500
60716,1974-05-02,-21.87500
60716,1974-05-03,-21.87500
60716,1974-05-06,-20.37500
60716,1974-05-07,-20.62500
60716,1974-05-08,-21.12500
60716,1974-05-09,-22.87500
60716,1974-05-10,-22.87500
60716,1974-05-13,-23.12500
60716,1974-05-14,-24.12500
60716,1974-05-15,-24.87500
60716,1974-05-16,-23.37500
60716,1974-05-17,-22.37500
60716,1974-05-20,-21.87500
60716,1974-05-21,-22.62500
60716,1974-05-22,-23.12500
60716,1974-05-23,-23.37500
60716,1974-05-24,-24.62500
60716,1974-05-28,-24.12500
60716,1974-05-29,-22.62500
60716,1974-05-30,-22.87500
60716,1974-05-31,-21.87500
60716,1974-06-03,-22.62500
60716,1974-06-04,-22.87500
60716,1974-06-05,-23.37500
60716,1974-06-06,-23.62500
60716,1974-06-07,-24.37500
60716,1974-06-10,-24.12500
60716,1974-06-11,-22.37500
60716,1974-06-12,-23.37500
60716,1974-06-13,-23.12500
60716,1974-06-14,-22.12500
60716,1974-06-17,-22.12500
60716,1974-06-18,-22.12500
60716,1974-06-19,-22.12500
60716,1974-06-20,-21.62500
60716,1974-06-21,-22.12500
60716,1974-06-24,-22.37500
60716,1974-06-25,-22.37500
60716,1974-06-26,-21.12500
60716,1974-06-27,-20.62500
60716,1974-06-28,-19.62500
60716,1974-07-01,-20.12500
60716,1974-07-02,-19.12500
60716,1974-07-03,-18.87500
60716,1974-07-05,-18.37500
60716,1974-07-08,-16.87500
60716,1974-07-09,-17.37500
60716,1974-07-10,-16.87500
60716,1974-07-11,-16.87500
60716,1974-07-12,-18.87500
60716,1974-07-15,-20.62500
60716,1974-07-16,-20.12500
